"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004907;1;12;"Casa";"EMPRESTIMO BANCARIO JUNTO A CAIXA ECONOMICA
FEDERAL, NO VALOR DE R$ 130.000,00, PARA AQUISICAO DE UMA CASA PROPRIA, ADQUIRIDA NO MES DE JULHO DE 2013, PARCELADO EM 240 MESES DE R$ 779,38.";"130000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005006;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT MOBI";"55000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005006;2;12;"Casa";"IMOVEL RESIDENCIAL";"180000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005007;2;12;"Casa";"CASA NA RODOVIA PA-391, MOSQUEIRO-PA.";"40000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005007;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO RENAULT SANDERO 2008/2009";"44419,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005007;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO RENAULT SANDERO 2011/2012";"51471,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005010;1;12;"Casa";"CASA";"80000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005013;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO CB1000R";"50000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005014;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT TORO 2022";"110000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005019;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT TORO";"120000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002005021;1;12;"Casa";"IMÓVEL RESIDENCIAL";"300000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007323;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHÃO, MARCA MERCEDES BENZ, AXOR 3131 6X4, ANO 2021";"600000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007324;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO, MARACA YAMAHA, 125";"6000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007324;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO, MARCA FIAT, MODELO PALIO";"30000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007325;1;12;"Casa";"CASA EM ALVENARIA, CONTENDO 03 QUARTOS, COZINHA E BANHEIRO";"40000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007328;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO, MARCA FIAT, TIPO GRANSIENA, ANO 2021";"76097,26";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007330;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro, marca Renault, marca oroch.";"84397,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007330;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto honda, cg 160 fan.";"10000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007330;3;12;"Casa";"casa ";"28000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06092";"OIAPOQUE";30002006385;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CORSA ";"10000,00";"18/09/2024";"10:43:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06092";"OIAPOQUE";30002006385;2;12;"Casa";"CASA EM ALVENARIA";"100000,00";"18/09/2024";"10:43:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002006933;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"marca Volksvagem, modelo gol, ano 2018";"50000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002007323;2;16;"Construção";"CASA";"250000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008298;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO";"89000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008298;2;12;"Casa";"CASA";"120000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008300;1;12;"Casa";"CASAS";"100000,00";"18/09/2024";"10:02:41"
